Protocolo,Data,Assunto,Situação,Regime,Autoria
00598/2024,06/09/2023,"Solicita melhorias na infraestrutura, limpeza, encascalhamento e posterior pavimentação nas ruas do Bairro Bela Vista.",Aprovada,Ordinário,JOSÉ EDUARDO BOMBONATTI
00597/2024,06/09/2023,"Solicita melhorias na infraestrutura, limpeza, encascalhamento e posterior pavimentação nas ruas do Bairro Morro Amarelo.",Aprovada,Ordinário,JOSÉ EDUARDO BOMBONATTI
00596/2024,06/09/2023,"Solicita melhorias na infraestrutura, limpeza, encascalhamento e posterior pavimentação nas ruas do Bairro Pagoto.",Aprovada,Ordinário,JOSÉ EDUARDO BOMBONATTI
00595/2024,06/09/2023,"Solicita melhorias na infraestrutura, limpeza, encascalhamento e posterior pavimentação nas ruas do Bairro Jardim Recanto Cancian.",Aprovada,Ordinário,JOSÉ EDUARDO BOMBONATTI
00604/2024,05/09/2023,"Solicita criar um programa de “Bolsa Emprego Jovem”, voltado a estudantes com idades entre 16 e 20 anos, com objetivo evitar a evasão escolar.",Aprovada,Ordinário,
00591/2024,05/09/2023,"Solicita melhorias na infraestrutura, limpeza, encascalhamento e posterior pavimentação na Rua Indaiatuba, no Bairro Bosque dos Pinheiros.",Aprovada,Ordinário,JOSÉ EDUARDO BOMBONATTI
00590/2024,05/09/2023,"Solicita melhorias na infraestrutura, limpeza, encascalhamento e posterior pavimentação na Rua Pedreira, no Bairro Bosque dos Pinheiros.",Aprovada,Ordinário,
00589/2024,05/09/2023,"Solicita melhorias na infraestrutura, limpeza, encascalhamento e posterior pavimentação na Rua Santa Bárbara D’Oeste, no Bairro Bosque dos Pinheiros.",Aprovada,Ordinário,JOSÉ EDUARDO DE CAMPOS PACHECO
00588/2024,05/09/2023,"Solicita melhorias na infraestrutura, limpeza, encascalhamento e posterior pavimentação na Rua Elias Fausto, no Bairro Bosque dos Pinheiros.",Aprovada,Ordinário,JOSÉ EDUARDO BOMBONATTI
00587/2024,05/09/2023,"Solicita melhorias na infraestrutura, limpeza, encascalhamento e posterior pavimentação na Rua Monte Mor, no Bairro Bosque dos Pinheiros.",Aprovada,Ordinário,JOSÉ EDUARDO BOMBONATTI
00586/2024,05/09/2023,"Solicita melhorias na infraestrutura, limpeza, encascalhamento e posterior pavimentação na Rua Itu, no Bairro Bosque dos Pinheiros.",Aprovada,Ordinário,JOSÉ EDUARDO BOMBONATTI
00585/2024,05/09/2023,"Solicita melhorias na infraestrutura, limpeza, encascalhamento e posterior pavimentação na Rua Porto Feliz, no Bairro Bosque dos Pinheiros.",Aprovada,Ordinário,JOSÉ EDUARDO BOMBONATTI
00584/2024,05/09/2023,"Solicita melhorias na infraestrutura, limpeza, encascalhamento e posterior pavimentação na Rua Rafard, no Bairro Bosque dos Pinheiros.",Aprovada,Ordinário,JOSÉ EDUARDO BOMBONATTI
00582/2024,05/09/2023,"Solicita melhorias na infraestrutura, limpeza, encascalhamento e posterior pavimentação na Rua Cosmópolis, no Bairro Bosque dos Pinheiros.",Tramitando,Ordinário,JOSÉ EDUARDO BOMBONATTI
00578/2024,05/09/2023,"Solicita melhorias na infraestrutura, limpeza, encascalhamento e posterior pavimentação na Rua Campinas, no Bairro Bosque dos Pinheiros.",Aprovada,Ordinário,JOSÉ EDUARDO BOMBONATTI
00577/2024,05/09/2023,Solicita estudos visando a valorização dos Ouvidores Públicos Municipais.,Aprovada,Ordinário,
00576/2024,05/09/2023,"Solicita a viabilize criação de um programa de “Bolsa Emprego Municipal”, com pagamento de salário as pessoas que estão desempregadas,",Aprovada,Ordinário,THIAGO JUNIOR ANESIO BRAGGION
00575/2024,05/09/2023,"Solicita um levantamento junto aos municípios vizinhos com intuito de igualar o valor do vale-alimentação concedido aos Servidores Públicos,",Aprovada,Ordinário,THIAGO JUNIOR ANESIO BRAGGION
00574/2024,05/09/2023,"Solicita estudos visando melhorar o salário dos Agentes da Defesa Civil, com a possibilidade de igualar ao salário dos Guardas Civis Municipais, valorizando os Servidores que atuam nessa área, viabilize ainda a realização de concursos públicos para aumentar o número de efetivos e oferecer melhor qualidade de serviço a todos agentes.",Aprovada,Ordinário,
00571/2024,04/09/2023,"Solicita a construção de um CRAS (Centro de Referência e Assistência Social), no Bairro Moreto.",Aprovada,Ordinário,ODÉSIO DE JESUS FERRAZ
00570/2024,04/09/2023,"Solicita esforços para implantação de toldo na entrada principal da Escola de Educação Infantil Valéria Datti, no Bairro Vila Fátima.",Aprovada,Ordinário,RUAN HENRIQUE PELLEGRINI BRAGGION
00569/2024,04/09/2023,"Solicita realize esforços para reformar e revitalizar o CCZ (Centro de Controle de Zoonoses), de Capivari.",Aprovada,Ordinário,RUAN HENRIQUE PELLEGRINI BRAGGION
00568/2024,04/09/2023,"Solicita viabilize realizar anualmente no último domingo de setembro uma “CÃOMINHADA”, contra os maus-tratos aos animais, como já acontece em diversos municípios.",Protocolada,Ordinário,RUAN HENRIQUE PELLEGRINI BRAGGION
00583/2024,02/09/2023,"Solicita melhorias na infraestrutura, limpeza, encascalhamento e posterior pavimentação na Rua Mombuca, no Bairro Bosque dos Pinheiros.",Aprovada,Ordinário,JOSÉ EDUARDO BOMBONATTI
00572/2024,01/09/2023,"Solicita a construção de calçadas na Avenida Luís Soderini Ferraciu, ligando o Bairro Alto do Castelani com a Avenida Josefina Giovana Rossi.",Aprovada,Ordinário,ODÉSIO DE JESUS FERRAZ
00562/2024,31/08/2023,"Solicita a colocação de containers de lixo, na Rua Caetano Favotto, próximo à Escola Municipal de Educação Infantil Nossa Senhora Rainha da Paz, no Bairro Jardim Branyl.",Aprovada,Ordinário,PALOMA TATIANE DA SILVA
00567/2024,30/08/2023,"Solicita melhorias na sinalização de trânsito, e demais ações necessárias para conter a velocidade na Avenida Professor Newton Pimenta Neves, próximo a Escola Estadual Waldemar Tomazini.",Aprovada,Ordinário,NELSON DE SOUSA SOARES
00566/2024,30/08/2023,"Solicita regularizar o Marco Regulatório da Coleta Seletiva no Munícipio, para instalar uma cooperativa de reciclagem",Aprovada,Ordinário,JOSÉ EDUARDO DE CAMPOS PACHECO
00565/2024,30/08/2023,"Solicita a pintura do meio fio, da faixa de pedestres na Rua Aracajú, esquina com a Rua Pio XII.",Aprovada,Ordinário,ODÉSIO DE JESUS FERRAZ
00564/2024,30/08/2023,"Solicita a instalação de poste de iluminação pública no canteiro central no trecho entre a Avenida José Annicchino e a Rua Ismael Bueno de Oliveira, que não receberam esse benefício.",Aprovada,Ordinário,ODÉSIO DE JESUS FERRAZ
00563/2024,30/08/2023,"Solicita a manutenção para conter o vazamento de esgoto que está ocorrendo debaixo da Ponte João Agripino Maia Sobrinho, na Avenida Doutor Ênio Pires de Camargo.",Aprovada,Ordinário,ODÉSIO DE JESUS FERRAZ
00561/2024,29/08/2023,"Solicita a criação do “Dia de Lazer Inclusivo”, no Parque Ecológico Murilo Ferreira Carnicelli, dentre as atividades a realização de trilhas com as cadeiras próprias adquiridas junto ao programa cidade acessível.",Aprovada,Ordinário,PALOMA TATIANE DA SILVA
00560/2024,29/08/2023,"Solicita a manutenção estrada de terra, que leva às Fazendas Bom Sucesso e Pau à Pique.",Aprovada,Ordinário,PALOMA TATIANE DA SILVA
00559/2024,28/08/2023,"Solicita providências cabíveis, para efetuar a demarcação de solo para vans e ônibus escolares defronte às escolas municipais.",Aprovada,Ordinário,PALOMA TATIANE DA SILVA
00558/2024,28/08/2023,"Solicita providências cabíveis, para melhorar a sinalização de trânsito e dispositivos para aumentar a segurança viária em frente às escolas municipais.",Aprovada,Ordinário,PALOMA TATIANE DA SILVA
00557/2024,28/08/2023,"Solicita a realização do Mutirão do Emprego, Trabalho e Renda Criativa e Tecnológica”, em Capivari, com atenção especial aos munícipes que não possuem experiencia.",Aprovada,Ordinário,PALOMA TATIANE DA SILVA
00556/2024,28/08/2023,"Solicita estudos para um Projeto de Lei criando um programa objetivando a compra de cadeiras de rodas, com intuito de beneficiar as pessoas que não possuem condições de comprá-las.",Aprovada,Ordinário,PALOMA TATIANE DA SILVA
00555/2024,24/08/2023,"Solicita a substituição do bebedouro existente no Parque Ecológico Murilo Ferreira Carnicelli, no Bairro Morada do Sol.",Aprovada,Ordinário,PALOMA TATIANE DA SILVA
00554/2024,22/08/2023,"Solicita a implantação de um playground, na área verde existente no final da Rua Antônio Tognin, no Bairro Jardim Tarsila.",Aprovada,Ordinário,PALOMA TATIANE DA SILVA
00553/2024,22/08/2023,"Solicita a construção de uma rampa de acesso na Rua Vinícius de Moraes, entrada do Parque Ecológico Murilo Ferreira Carnicelli, no Bairro Morada do Sol.",Aprovada,Ordinário,
00552/2024,22/08/2023,"Solicita colocar placas com os dizeres: “início da ciclofaixa - respeite o ciclista”, na Avenida Doutora Marlene do Carmo Rossi.",Aprovada,Ordinário,THIAGO JUNIOR ANESIO BRAGGION
00551/2024,22/08/2023,Solicita colocar delimitador de tráfego (tartaruga) entre a lombada e a ciclofaixa na Avenida Doutora Marlene do Carmo Rossi.,Aprovada,Ordinário,THIAGO JUNIOR ANESIO BRAGGION
00550/2024,22/08/2023,"Solicita implantação um “ponto de pedal” próximo a ETA 2 (Estação de tratamento de Água), Mozart do Prado, na Avenida Doutor Ênio Pire de Camargo.",Aprovada,Ordinário,RUAN HENRIQUE PELLEGRINI BRAGGION
00549/2024,22/08/2023,"Solicita a revitalização da Praça Nossa Senhora de Fátima, no Bairro Vila Fátima.",Aprovada,Ordinário,THIAGO JUNIOR ANESIO BRAGGION
00548/2024,22/08/2023,Solicita a implantação de  braço de iluminação na Luiz Carrara no Bairro São Domingos.,Aprovada,Ordinário,JOSÉ EDUARDO BOMBONATTI
00547/2024,22/08/2023,Solicita implantação de redutores de velocidade (lombada) e placas de sinalização em toda Avenida Doutora Marlene do Carmo Rossi.,Aprovada,Ordinário,JOSÉ EDUARDO BOMBONATTI
00546/2024,22/08/2023,"Solicita à Empresa responsável por gerenciar a Zona Azul, para que proceda a implementação de parquímetros (emissores de tickets de estacionamento), que aceitem como forma de pagamento cartões de crédito e débito em Capivari em diversos pontos das vias que são atendidas pelo estacionamento rotativo.",Aprovada,Ordinário,JOSÉ EDUARDO DE CAMPOS PACHECO
00545/2024,22/08/2023,"Solicita a instalação de uma área de lazer na Rua Cabo Onofre Marturano, no Bairro Jardim do Bosque.",Aprovada,Ordinário,MARCOS SABINO FERNANDES
00544/2024,22/08/2023,"Solicita melhoria da sinalização de solo (faixa de pedestre, escola, pare) nas áreas próximas às creches do município.",Aprovada,Ordinário,MARCOS SABINO FERNANDES
00535/2024,17/08/2023,"Solicita oferecer aos professores da Rede Municipal de Ensino, uma qualificação em educação financeira através de cursos oferecidos pelo Ministério da Educação (MEC), e após viabilize a implantação da disciplina nas Escolas Municipais.",Aprovada,Ordinário,JOSÉ EDUARDO DE CAMPOS PACHECO
00534/2024,17/08/2023,"Solicita estudos para construir uma calçada no trecho que une a Avenida José Annicchino e a Rua Tiradentes, entre o PARE de quem vai entrar na Rua Tiradentes e o PARE para quem vai adentrar na Rua João Vaz.",Aprovada,Ordinário,JOSÉ EDUARDO DE CAMPOS PACHECO
00531/2024,17/08/2023,"Solicita estudos para alteração de trânsito da Rua Pedro Stucchi, tornando mão única de direção, descendo da Avenida Pio XII até a Avenida José Annicchino.",Aprovada,Ordinário,JOSÉ EDUARDO DE CAMPOS PACHECO
00530/2024,17/08/2023,"Solicita estudos para alteração de trânsito da Rua Santa Maria, tornando mão única de direção, subindo da Avenida José Annicchino até a Avenida Pio XII.",Aprovada,Ordinário,JOSÉ EDUARDO DE CAMPOS PACHECO
00529/2024,17/08/2023,"Solicita estudos para desenvolver um Censo Industrial no município, visando a mão de obra especifica de cada empresa, com intuito de capacitar os capivarianos.",Aprovada,Ordinário,JOSÉ EDUARDO DE CAMPOS PACHECO
00528/2024,17/08/2023,Solicita estudos visando à criação de uma Feira Industrial em Capivari.,Aprovada,Ordinário,JOSÉ EDUARDO DE CAMPOS PACHECO
00527/2024,17/08/2023,"Solicita inscrever Capivari para participar do programa Linha de Crédito, anunciada pelo Governador Tarcísio de Freitas, para desenvolvimento de projetos de prefeituras e autarquias municipais de todo o Estado de São Paulo.",Aprovada,Ordinário,JOSÉ EDUARDO DE CAMPOS PACHECO
00543/2024,16/08/2023,"Solicita a instalação de bancos na Área de Lazer Aristides Jardim Júnior - Chefe Ari, localizada no Bairro Nova Aparecida, na confluência das Ruas José Canto Neto, Hermantino Corrêa Galrão com Avenida João Salvatti.",Aprovada,Ordinário,RUAN HENRIQUE PELLEGRINI BRAGGION
00542/2024,16/08/2023,"Solicita a implantação de duas lixeiras tipo caçamba, no Bairro Alto do Castelani, próximo a pracinha existente no bairro.",Aprovada,Ordinário,MARCOS SABINO FERNANDES
00541/2024,16/08/2023,"Solicita a substituição das atuais lâmpadas, por lâmpadas de LED nos postes de iluminação pública em toda extensão da Rua Aracaju, no Bairro Jardim São José.",Aprovada,Ordinário,ODÉSIO DE JESUS FERRAZ
00540/2024,16/08/2023,"Solicita a execução do serviço de limpeza na Rua José Aprilante, no Bairro Morada do Sol.",Aprovada,Ordinário,ODÉSIO DE JESUS FERRAZ
00539/2024,16/08/2023,"Solicita a implantação de um redutor de velocidade (lombada), na Rua Aracaju, no Bairro Jardim São José.",Aprovada,Ordinário,ODÉSIO DE JESUS FERRAZ
00538/2024,16/08/2023,Solicita conceder o reajuste salarial aos Agentes Comunitários de Saúde.,Aprovada,Ordinário,"DENILTON ROCHA DOS SANTOS, PALOMA TATIANE DA SILVA"
00537/2024,16/08/2023,Solicita a criação de Plano de Carreira específico para os motoristas.,Aprovada,Ordinário,PALOMA TATIANE DA SILVA
00536/2024,16/08/2023,"Solicita iluminação nos prédios públicos na cor verde, durante o mês de setembro, com intuito de conscientizar a população da importância da inclusão das pessoas com deficiência.",Aprovada,Ordinário,PALOMA TATIANE DA SILVA
00521/2024,14/08/2023,Solicita serviços de capinação e limpeza em área verde localizada ao lado da Escola Municipal Laura Quagliato Pacheco.,Aprovada,Ordinário,THIAGO JUNIOR ANESIO BRAGGION
00520/2024,14/08/2023,"Solicita instalação de totens com placas indicativas de empresas na Rotatória Ida Favaro Forner, no Distrito Industrial Doutor Jovenil Forti.",Aprovada,Ordinário,THIAGO JUNIOR ANESIO BRAGGION
00519/2024,10/08/2023,Solicita estudos para criação do Plano de Cargos e Carreira dos Servidores Públicos da Administração Direta e Indireta do Município de Capivari.,Aprovada,Ordinário,JOSÉ EDUARDO DE CAMPOS PACHECO
00510/2024,10/08/2023,"Solicita a cimentação ou um caminho para dar acessibilidade para as pessoas com deficiência e mobilidade reduzida até a porta do Centro de Especialidades, localizado no Bairro Jardim Branyl.",Aprovada,Ordinário,PALOMA TATIANE DA SILVA
00509/2024,10/08/2023,"Solicita ações alusivas ao “Setembro Verde”, nas Escolas Municipais de Capivari, sendo este mês dedicado à luta pela inclusão das pessoas com deficiência.",Aprovada,Ordinário,PALOMA TATIANE DA SILVA
00518/2024,09/08/2023,"Solicita limpeza em todo o Bairro Moreto, tendo em conta o mato alto, folhas e galhos secos, acúmulo de entulho e descarte irregular de lixo em vários pontos.",Aprovada,Ordinário,NELSON DE SOUSA SOARES
00517/2024,09/08/2023,"Solicita antecipar o pagamento da primeira parcela, do 13º salário aos Servidores da Autarquia.",Aprovada,Ordinário,THIAGO JUNIOR ANESIO BRAGGION
00516/2024,07/08/2023,"Solicita limpeza de todos os bueiros da cidade, com atenção especial aos bairros: Alto do Castelani, Jardim Branyl e Jardim do Bosque.",Protocolada,Ordinário,MARCOS SABINO FERNANDES
00515/2024,07/08/2023,"Solicita limpeza e implantação de abrigo e assentos no ponto de ônibus existente na Avenida Itália, na altura do número 1.143, no Bairro Morro Amarelo.",Protocolada,Ordinário,MARCOS SABINO FERNANDES
00514/2024,04/08/2023,"Solicita , providencias junto a CPFL – Companhia Paulista de Força e Luz, a instalação de iluminação pública nas ruas do Bairro Paineirinha, localidade está que pertence ao Bairro Jardim Santa Rita de Cássia (Trevo).",Aprovada,Ordinário,RUAN HENRIQUE PELLEGRINI BRAGGION
00513/2024,04/08/2023,"Solicita a colocação da placa toponímica nas ruas do Bairro Paineirinha, localidade está que pertence ao Bairro Jardim Santa Rita de Cássia (Trevo).",Aprovada,Ordinário,RUAN HENRIQUE PELLEGRINI BRAGGION
00512/2024,04/08/2023,Solicita a colocação de placas toponímica nas ruas do Bairro Jardim Santa Rita de Cássia (Trevo).,Aprovada,Ordinário,RUAN HENRIQUE PELLEGRINI BRAGGION
00511/2024,03/08/2023,"Solicita  a construção de um muro no entorno da ETE (Estação de Tratamento de Esgoto), Orlando Rodrigues, no Bairro Alto do Catelani.",Aprovada,Ordinário,ELISSANDRO DA SILVA LEITE - SANDRO MODAS
00508/2024,03/08/2023,"Solicita melhorias no parquinho e na academia adaptada existente no Bairro Vila Izildinha, entre as melhorias necessárias estão: poda das árvores, limpeza das folhas que estão de baixo dos aparelhos, rebaixo da calçada para acessibilidade, Iluminação, Bebedouro de água manutenção e pintura dos brinquedos.",Aprovada,Ordinário,PALOMA TATIANE DA SILVA
00507/2024,03/08/2023,"Solicita providências cabíveis, para pintar as lombadas existentes Rua Barão do Rio Branco, uma na altura do número 721, e outra na altura do número 1.445.",Aprovada,Ordinário,ODÉSIO DE JESUS FERRAZ
00495/2024,03/08/2023,Solicita estudo para criar o projeto “Construindo Ações: Escola e Família” na rede municipal de ensino.,Aprovada,Ordinário,INÊS LUIZA FELIX DA COSTA
00506/2024,02/08/2023,"Solicita as providências cabíveis, para Implantação de toldo na entrada do Posto de Saúde Engenheiro João Agripino Maia Sobrinho no Bairro Porto Alegre.",Aprovada,Ordinário,ODÉSIO DE JESUS FERRAZ
00505/2024,02/08/2023,"Solicita viabilize junto à Empresa MM Souza, para que sejam inseridos mais horários de ônibus na linha que atende o Bairro Nova Aparecida.",Tramitando,Ordinário,"DENILTON ROCHA DOS SANTOS, ELISSANDRO DA SILVA LEITE - SANDRO MODAS, JOSÉ EDUARDO DE CAMPOS PACHECO, JOSÉ EDUARDO BOMBONATTI, INÊS LUIZA FELIX DA COSTA, JEISELE RENATA ROSADA, MARCOS SABINO FERNANDES, ODÉSIO DE JESUS FERRAZ, NELSON DE SOUSA SOARES, PALOMA TATIANE DA SILVA, RUAN HENRIQUE PELLEGRINI BRAGGION, THIAGO JUNIOR ANESIO BRAGGION"
00501/2024,02/08/2023,"Solicita instalar nos prédios públicos placas de sinalização em Braille e Libras (Língua Brasileira de Sinais), com intuito de garantir a acessibilidade da comunicação no espaço público.",Aprovada,Ordinário,PALOMA TATIANE DA SILVA
00500/2024,02/08/2023,"Solicita para implantar o sistema de identificação em braile na Rodoviária e pontos de ônibus do município, contendo os horários, trajetos e demais serviços prestados.",Aprovada,Ordinário,PALOMA TATIANE DA SILVA
00492/2024,02/08/2023,"Solicita a Vigilância Sanitária, que realize a dedetização do Cemitério Municipal São João Batista e que sejam adotadas providências para combater a infestação de escorpiões registrada no Bairro Parque Residencial Santa Rita.",Tramitando,Ordinário,THIAGO JUNIOR ANESIO BRAGGION
00491/2024,02/08/2023,"Solicita serviço de limpeza geral e a colocação de um alambrado na Área Verde localizada entre as ruas: Misael Franchi, Lino Marino Petena e Maria Catto Boccardo, no Bairro Parque residencial Santa Rita.",Aprovada,Ordinário,THIAGO JUNIOR ANESIO BRAGGION
00486/2024,02/08/2023,"Solicita manutenção do bueiro existente na esquina da Rua João Moretti com a Rua Tenente Abilio Moraes de Almeida, em frente ao número 314, o qual se encontra danificado.",Aprovada,Ordinário,THIAGO JUNIOR ANESIO BRAGGION
00476/2024,02/08/2023,Solicita realize estudos de viabilidade para construir um campinho de futebol no Bairro Vila Balan.,Aprovada,Ordinário,JOSÉ EDUARDO BOMBONATTI
00373/2024,02/08/2023,"Solicita a troca da Ponte Jânio Quadros, ponte que liga a Alameda Faustina Franchi Annicchino com a Rua Bento Dias, deixando mais alta para que não seja atingida pelas enchentes em épocas de chuvas",Aprovada,Ordinário,JOSÉ EDUARDO BOMBONATTI
00368/2024,02/08/2023,"Solicita construção de uma ponte de mão dupla com devida iluminação na Rua General Osório, ligando a Rua Maria Amaral, ou na Rua Barão do Rio Branco, ligando com a Rua Benedito de Paula Leite Sampaio.",Aprovada,Ordinário,JOSÉ EDUARDO BOMBONATTI
00367/2024,02/08/2023,"Solicita elaboração de um projeto, para concessão de falta abonada no dia do aniversário do Servidor Público Municipal, sendo este o sétimo abono anual.",Aprovada,Ordinário,RUAN HENRIQUE PELLEGRINI BRAGGION
00347/2024,01/08/2023,Solicita estudos para implantação de iluminação pública na entrada do Bairro Recanto Cancian.,Aprovada,Ordinário,RUAN HENRIQUE PELLEGRINI BRAGGION
00532/2024,27/07/2023,"Solicita estudos para instalação de faixa elevada (lombofaixa) na Rua Tiradentes, na altura do número 747.",Aprovada,Ordinário,JOSÉ EDUARDO DE CAMPOS PACHECO
00498/2024,27/07/2023,"Solicita molhar por meio de caminhão pipa, as ruas do Bairro Bosque dos Pinheiros e do Bairro Jardim Recanto Cancian, são bairros que ainda não receberam a devida camada asfáltica, onde os moradores sofrem com o excesso de poeira.",Aprovada,Ordinário,JEISELE RENATA ROSADA
00490/2024,27/07/2023,Solicita estudos técnicos para demarcação e construção de novos pontos de ônibus no Bairro Jardim Branyl.,Aprovada,Ordinário,THIAGO JUNIOR ANESIO BRAGGION
00213/2024,27/07/2023,"Reformar e efetuar as melhorias necessárias no Centro Cultural Alan de Lima Palma, na Vila Benjamim (Bairro Estação).",Aprovada,Ordinário,RUAN HENRIQUE PELLEGRINI BRAGGION
00504/2024,25/07/2023,"Solicita a retomada do Desfile Cívico, no dia 07 de setembro, Dia da Independência do Brasil.",Aprovada,Ordinário,JOSÉ EDUARDO DE CAMPOS PACHECO
00503/2024,25/07/2023,"Solicita estudos ou projeto visando à criação e organização de uma Orquestra Municipal, objetivando à formação cultural e social de crianças e adolescentes, por meio da prática instrumental e teoria musical, e futuramente com apresentações abertas ao público, em eventos culturais, artísticos, musicais e de lazer no Coreto Miguel Ângelo Annicchino.",Tramitando,Ordinário,JOSÉ EDUARDO DE CAMPOS PACHECO
00502/2024,25/07/2023,Solicita estudos para oferecer programas de bandas e fanfarras nas Escolas da Rede Municipal de Ensino.,Aprovada,Ordinário,JOSÉ EDUARDO DE CAMPOS PACHECO
00489/2024,25/07/2023,Solicita viabilize a criação de um Espaço Pet na Praça Cesário Mota ou na Praça Rodrigues de Abreu.,Aprovada,Ordinário,THIAGO JUNIOR ANESIO BRAGGION
00364/2024,25/07/2023,Solicita estudos para implantação de atendimento via WhatsApp na Santa Casa de Misericórdia.,Tramitando,Ordinário,RUAN HENRIQUE PELLEGRINI BRAGGION
00360/2024,25/07/2023,"Solicita a construção de uma avenida antiga linha férrea (FEPASA), entre a Avenida Brigadeiro Faria Lima e a rotatória da entrada de Rafard, sentido Avenida Pio XII.",Aprovada,Ordinário,RUAN HENRIQUE PELLEGRINI BRAGGION
00358/2024,25/07/2023,"Solicita instalação de área de lazer “playground”, academia ao ar livre e área de convivência para idosos no Bairro Vila Di Capri.",Aprovada,Ordinário,RUAN HENRIQUE PELLEGRINI BRAGGION
00356/2024,25/07/2023,"Solicita sinalização de solo nas esquinas do Bairro Vila Di Capri, visando melhorias e segurança no trânsito.",Aprovada,Ordinário,RUAN HENRIQUE PELLEGRINI BRAGGION
00355/2024,25/07/2023,"Solicita sinalização de solo nas esquinas das ruas do Bairro Santo Antônio, visando melhorias e segurança no trânsito.",Aprovada,Ordinário,RUAN HENRIQUE PELLEGRINI BRAGGION
00353/2024,25/07/2023,"Solicita recape na Rua França, no Bairro Santo Antônio.",Aprovada,Ordinário,RUAN HENRIQUE PELLEGRINI BRAGGION
00352/2024,25/07/2023,"Solicita recape na Rua João Forner, no Bairro Santo Antônio.",Aprovada,Ordinário,RUAN HENRIQUE PELLEGRINI BRAGGION
00351/2024,25/07/2023,"Solicita recape na Rua Inglaterra, no Bairro Santo Antônio.",Aprovada,Ordinário,RUAN HENRIQUE PELLEGRINI BRAGGION
00497/2024,24/07/2023,"Solicita estudos para implantar a PORTARIA GM/MS Nº 960, DE 17 DE JULHO DE 2023 que visa instituir o Pagamento por Desempenho da Saúde Bucal na Atenção Primária à Saúde - APS, no âmbito do Sistema Único de Saúde - SUS.",Aprovada,Ordinário,INÊS LUIZA FELIX DA COSTA
00496/2024,24/07/2023,"Solicita estudos para continuar a calçada da Rua Padre Haroldo em frente à Igreja Santa Cruz, até a Rua Padre Fabiano, onde o pedestre possa esperar com segurança o momento de atravessar a rua.",Aprovada,Ordinário,INÊS LUIZA FELIX DA COSTA
00366/2024,24/07/2023,Solicita reforma da Praça Maçom localizada na Rua 7 de setembro (Rua da Barra).,Aprovada,Ordinário,RUAN HENRIQUE PELLEGRINI BRAGGION
00349/2024,24/07/2023,"Solicita  reforma na Praça John Kennedy, no Bairro Santo Antônio.",Aprovada,Ordinário,RUAN HENRIQUE PELLEGRINI BRAGGION
00350/2024,24/07/2023,Solicita reforma completa nas Praças Cesário Motta e Rodrigues de Abreu.,Tramitando,Ordinário,PALOMA TATIANE DA SILVA
00215/2024,24/07/2023,"Elaborar de um Projeto para a construção de um canteiro central na via de entrada, do Bairro Jardim Recanto Cancian.",Aprovada,Ordinário,RUAN HENRIQUE PELLEGRINI BRAGGION
00214/2024,24/07/2023,"Reunião com os moradores dos Bairros Jardim Recanto Cancian, São Domingos, Bela Vista e Santa Filomena, para definir um cronograma periódico para a motoniveladora possa arrumar as ruas de terra dos bairros.",Aprovada,Ordinário,RUAN HENRIQUE PELLEGRINI BRAGGION
00212/2024,24/07/2023,"Reforma completa do Estádio Fernando de Marco, na Vila Benjamin, mais conhecida como Bairro Estação.",Aprovada,Ordinário,RUAN HENRIQUE PELLEGRINI BRAGGION
00499/2024,20/07/2023,"Solicita tapa-buraco, na Rua 25 de Dezembro, no Bairro Nova Aparecida.",Aprovada,Ordinário,ELISSANDRO DA SILVA LEITE - SANDRO MODAS
00485/2024,20/07/2023,"Solicita estudos técnicos para liberar o estacionamento a partir das 20:00 horas na Avenida Doutor Rodrigues Alves, no trecho compreendido entre a Rua São João com a Avenida Pio XII, para que os clientes que prestigiam os comércios locais possam estacionar.",Aprovada,Ordinário,THIAGO JUNIOR ANESIO BRAGGION
00488/2024,19/07/2023,"Solicita viabilize implantar o IPTU – Verde, no município de Capivari.",Aprovada,Ordinário,THIAGO JUNIOR ANESIO BRAGGION
00487/2024,19/07/2023,"Solicita a criação de uma Comissão para revisar o Plano de Carreira e Remuneração do Magistério Público Municipal de Capivari, criando novos benefícios aos profissionais da educação.",Aprovada,Ordinário,THIAGO JUNIOR ANESIO BRAGGION
00494/2024,18/07/2023,Solicita estudos para viabilizar campanha de conscientização sobre a importância da arrecadação do cupom das Notas Ficais Paulista e doar para as Entidades do nosso município.,Aprovada,Ordinário,INÊS LUIZA FELIX DA COSTA
00493/2024,18/07/2023,"Solicita providências cabíveis, junto ao setor competente, para desassoreamento e limpeza do Rio Capivari.",Tramitando,Ordinário,DENILTON ROCHA DOS SANTOS
00483/2024,05/07/2023,Solicita estudos técnicos com intuito de construir uma passarela ligando o Bairro Morada do Sol com o Município de Rafard.,Aprovada,Ordinário,ODÉSIO DE JESUS FERRAZ
00481/2024,05/07/2023,"Solicita a manutenção na pintura do redutor de velocidade (lombada), da Rua Aracaju, no Bairro São José.",Aprovada,Ordinário,ODÉSIO DE JESUS FERRAZ
00478/2024,05/07/2023,"Solicita a manutenção da pintura de solo, da faixa de pedestres e da pintura da guia, da Rua Aracaju próximo à Avenida Pio XII.",Protocolada,Ordinário,ODÉSIO DE JESUS FERRAZ
00211/2024,24/06/2023,Implementar Iluminação de LED em toda volta do Largo da Estação.,Aprovada,Ordinário,RUAN HENRIQUE PELLEGRINI BRAGGION
